step,id,x,y,z
13,9,4.79442e+08,2.00888e+09,2.30122e+09
14,0,4.80974e+08,2.97547e+09,1.20242e+08
14,1,1.62579e+09,1.73066e+08,1.89497e+09
14,2,2.52537e+09,2.71667e+09,1.27025e+09
14,3,2.79013e+09,1.03395e+09,7.64829e+08
14,4,2.36987e+09,2.0872e+09,1.67162e+09
14,5,4.38833e+08,1.73864e+09,1.69631e+09
14,6,4.51869e+08,6.1176e+07,1.6637e+09
14,7,1.16352e+09,2.78583e+09,5.3967e+08
14,8,1.42819e+09,7.71646e+08,2.93935e+09
14,9,4.79558e+08,2.00869e+09,2.30092e+09
15,0,4.81187e+08,2.97534e+09,1.20447e+08
15,1,1.62565e+09,1.73277e+08,1.89502e+09
15,2,2.52519e+09,2.71637e+09,1.27036e+09
15,3,2.78997e+09,1.03406e+09,7.6496e+08
15,4,2.36978e+09,2.08732e+09,1.67143e+09
15,5,4.39018e+08,1.73875e+09,1.69667e+09
15,6,4.52052e+08,6.13594e+07,1.66376e+09
15,7,1.1634e+09,2.78576e+09,5.39708e+08
15,8,1.42815e+09,7.71696e+08,2.9391e+09
15,9,4.79682e+08,2.00849e+09,2.3006e+09
16,0,4.81413e+08,2.9752e+09,1.20665e+08
16,1,1.6255e+09,1.73502e+08,1.89507e+09
16,2,2.52499e+09,2.71606e+09,1.27048e+09
16,3,2.78981e+09,1.03417e+09,7.651e+08
16,4,2.36968e+09,2.08745e+09,1.67123e+09
16,5,4.39214e+08,1.73888e+09,1.69705e+09
16,6,4.52246e+08,6.15542e+07,1.66383e+09
16,7,1.16326e+09,2.78568e+09,5.39749e+08
16,8,1.42811e+09,7.71749e+08,2.93883e+09
16,9,4.79814e+08,2.00827e+09,2.30026e+09
17,0,4.81653e+08,2.97506e+09,1.20895e+08
17,1,1.62534e+09,1.7374e+08,1.89513e+09
17,2,2.52478e+09,2.71572e+09,1.2706e+09
17,3,2.78963e+09,1.03429e+09,7.65247e+08
17,4,2.36958e+09,2.0876e+09,1.67102e+09
17,5,4.39422e+08,1.739e+09,1.69745e+09
17,6,4.52452e+08,6.17605e+07,1.6639e+09
17,7,1.16312e+09,2.7856e+09,5.39792e+08
17,8,1.42806e+09,7.71806e+08,2.93855e+09
17,9,4.79953e+08,2.00805e+09,2.2999e+09
18,0,4.81906e+08,2.97491e+09,1.21139e+08
18,1,1.62517e+09,1.73992e+08,1.89519e+09
18,2,2.52455e+09,2.71537e+09,1.27073e+09
18,3,2.78944e+09,1.03441e+09,7.65403e+08
18,4,2.36947e+09,2.08774e+09,1.67079e+09
18,5,4.39642e+08,1.73914e+09,1.69787e+09
18,6,4.5267e+08,6.19783e+07,1.66398e+09
18,7,1.16297e+09,2.78551e+09,5.39837e+08
18,8,1.42801e+09,7.71866e+08,2.93825e+09
18,9,4.80101e+08,2.00781e+09,2.29952e+09
19,0,4.82172e+08,2.97474e+09,1.21395e+08
19,1,1.62499e+09,1.74256e+08,1.89525e+09
19,2,2.52432e+09,2.715e+09,1.27086e+09
19,3,2.78925e+09,1.03455e+09,7.65567e+08
19,4,2.36935e+09,2.0879e+09,1.67055e+09
19,5,4.39873e+08,1.73928e+09,1.69832e+09
19,6,4.52899e+08,6.22075e+07,1.66406e+09
19,7,1.16282e+09,2.78542e+09,5.39885e+08
19,8,1.42796e+09,7.71929e+08,2.93794e+09
19,9,4.80256e+08,2.00756e+09,2.29911e+09
20,0,4.82452e+08,2.97458e+09,1.21664e+08
20,1,1.62481e+09,1.74534e+08,1.89532e+09
20,2,2.52407e+09,2.7146e+09,1.27101e+09
20,3,2.78905e+09,1.03468e+09,7.65739e+08
20,4,2.36923e+09,2.08807e+09,1.67031e+09
20,5,4.40115e+08,1.73943e+09,1.69879e+09
20,6,4.5314e+08,6.24483e+07,1.66414e+09
20,7,1.16265e+09,2.78533e+09,5.39935e+08
20,8,1.42791e+09,7.71995e+08,2.93761e+09
20,9,4.80418e+08,2.00729e+09,2.29869e+09
21,0,4.82745e+08,2.9744e+09,1.21946e+08
21,1,1.62461e+09,1.74825e+08,1.89539e+09
21,2,2.52381e+09,2.71419e+09,1.27115e+09
21,3,2.78883e+09,1.03483e+09,7.6592e+08
21,4,2.3691e+09,2.08824e+09,1.67004e+09
21,5,4.4037e+08,1.73959e+09,1.69928e+09
21,6,4.53392e+08,6.27006e+07,1.66423e+09
21,7,1.16248e+09,2.78523e+09,5.39988e+08
21,8,1.42785e+09,7.72064e+08,2.93726e+09
21,9,4.80589e+08,2.00701e+09,2.29825e+09
22,0,4.83051e+08,2.97421e+09,1.22241e+08
22,1,1.62441e+09,1.7513e+08,1.89546e+09
22,2,2.52354e+09,2.71376e+09,1.27131e+09
22,3,2.78861e+09,1.03498e+09,7.66109e+08
22,4,2.36897e+09,2.08842e+09,1.66977e+09
22,5,4.40636e+08,1.73975e+09,1.6998e+09
22,6,4.53655e+08,6.29644e+07,1.66432e+09
22,7,1.1623e+09,2.78513e+09,5.40042e+08
22,8,1.42779e+09,7.72136e+08,2.9369e+09
22,9,4.80767e+08,2.00672e+09,2.29779e+09
23,0,4.83371e+08,2.97402e+09,1.22549e+08
23,1,1.6242e+09,1.75448e+08,1.89554e+09
23,2,2.52326e+09,2.71332e+09,1.27147e+09
23,3,2.78837e+09,1.03514e+09,7.66306e+08
23,4,2.36883e+09,2.08861e+09,1.66949e+09
23,5,4.40914e+08,1.73993e+09,1.70034e+09
23,6,4.5393e+08,6.32397e+07,1.66441e+09
23,7,1.16211e+09,2.78502e+09,5.40099e+08
23,8,1.42773e+09,7.72211e+08,2.93653e+09
23,9,4.80953e+08,2.00642e+09,2.29731e+09
24,0,4.83704e+08,2.97382e+09,1.2287e+08
24,1,1.62397e+09,1.75779e+08,1.89562e+09
24,2,2.52297e+09,2.71285e+09,1.27164e+09
24,3,2.78813e+09,1.03531e+09,7.66511e+08
24,4,2.36868e+09,2.08881e+09,1.66919e+09
24,5,4.41203e+08,1.74011e+09,1.7009e+09
24,6,4.54217e+08,6.35265e+07,1.66451e+09
24,7,1.16191e+09,2.78491e+09,5.40159e+08
24,8,1.42766e+09,7.7229e+08,2.93614e+09
24,9,4.81147e+08,2.0061e+09,2.2968e+09
25,0,4.84051e+08,2.97361e+09,1.23204e+08
25,1,1.62374e+09,1.76123e+08,1.8957e+09
25,2,2.52266e+09,2.71236e+09,1.27182e+09
25,3,2.78788e+09,1.03548e+09,7.66724e+08
25,4,2.36853e+09,2.08901e+09,1.66888e+09
25,5,4.41504e+08,1.74029e+09,1.70148e+09
25,6,4.54515e+08,6.38249e+07,1.66462e+09
25,7,1.16171e+09,2.78479e+09,5.4022e+08
25,8,1.42759e+09,7.72372e+08,2.93573e+09
25,9,4.81348e+08,2.00577e+09,2.29628e+09
26,0,4.84412e+08,2.97339e+09,1.2355e+08
26,1,1.6235e+09,1.76481e+08,1.89579e+09
26,2,2.52234e+09,2.71186e+09,1.272e+09
26,3,2.78761e+09,1.03566e+09,7.66946e+08
26,4,2.36838e+09,2.08923e+09,1.66856e+09
26,5,4.41816e+08,1.74049e+09,1.70209e+09
26,6,4.54825e+08,6.41348e+07,1.66473e+09
26,7,1.16149e+09,2.78467e+09,5.40284e+08
26,8,1.42752e+09,7.72457e+08,2.93531e+09
26,9,4.81558e+08,2.00543e+09,2.29573e+09
27,0,4.84785e+08,2.97316e+09,1.2391e+08
27,1,1.62325e+09,1.76852e+08,1.89588e+09
27,2,2.52201e+09,2.71133e+09,1.2722e+09
27,3,2.78734e+09,1.03584e+09,7.67176e+08
27,4,2.36822e+09,2.08945e+09,1.66822e+09
27,5,4.42141e+08,1.74069e+09,1.70272e+09
27,6,4.55146e+08,6.44563e+07,1.66484e+09
27,7,1.16127e+09,2.78454e+09,5.40351e+08
27,8,1.42745e+09,7.72545e+08,2.93487e+09
27,9,4.81775e+08,2.00508e+09,2.29517e+09
28,0,4.85173e+08,2.97293e+09,1.24283e+08
28,1,1.623e+09,1.77236e+08,1.89597e+09
28,2,2.52167e+09,2.71079e+09,1.27239e+09
28,3,2.78706e+09,1.03604e+09,7.67414e+08
28,4,2.36805e+09,2.08968e+09,1.66788e+09
28,5,4.42477e+08,1.7409e+09,1.70338e+09
28,6,4.55479e+08,6.47892e+07,1.66495e+09
28,7,1.16104e+09,2.78441e+09,5.40419e+08
28,8,1.42737e+09,7.72636e+08,2.93441e+09
28,9,4.82e+08,2.00471e+09,2.29458e+09
29,0,4.85574e+08,2.97269e+09,1.24668e+08
29,1,1.62273e+09,1.77634e+08,1.89607e+09
29,2,2.52132e+09,2.71023e+09,1.2726e+09
29,3,2.78677e+09,1.03624e+09,7.6766e+08
29,4,2.36787e+09,2.08992e+09,1.66752e+09
29,5,4.42824e+08,1.74112e+09,1.70406e+09
29,6,4.55823e+08,6.51338e+07,1.66507e+09
29,7,1.16081e+09,2.78428e+09,5.4049e+08
29,8,1.4273e+09,7.7273e+08,2.93394e+09
29,9,4.82232e+08,2.00433e+09,2.29397e+09
30,0,4.85988e+08,2.97244e+09,1.25067e+08
30,1,1.62245e+09,1.78045e+08,1.89617e+09
30,2,2.52095e+09,2.70965e+09,1.27281e+09
30,3,2.78646e+09,1.03644e+09,7.67915e+08
30,4,2.3677e+09,2.09016e+09,1.66715e+09
30,5,4.43184e+08,1.74134e+09,1.70476e+09
30,6,4.56179e+08,6.54899e+07,1.6652e+09
30,7,1.16056e+09,2.78414e+09,5.40563e+08
30,8,1.42722e+09,7.72827e+08,2.93346e+09
30,9,4.82473e+08,2.00393e+09,2.29334e+09
31,0,4.86416e+08,2.97218e+09,1.25479e+08
31,1,1.62217e+09,1.78469e+08,1.89627e+09
